RBR,Naziv,Autor,Autor komentara,Autor dodataka,Urednik,Prevoditelj,Ilustrator,Naslov,Godina izdavanja,Tiskar,Mjesto tiskanja,Ustanova,Mjesto,,
51,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Vita et transitus,1480,"Manzolus, Michael",Treviso,Franjevački samostan sv. Frane,Šibenik,,
50,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,,,,Vita et transitus,1475,"Pietro, Gabriele di",Venecija,Franjevački samostan Male braće,Dubrovnik,,
49,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Epistolae,1497,"Rubeis, Laurentius de, de Valentia",Ferrara,Franjevački samostan sv. Frane,Šibenik,,
48,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Epistolae,1497,"Kessler, Nicolaus",Basel,"Arheološki muzej
Katolički bogoslovni fakultet
Knjižnica Hrvatske akademije znanosti i umjetnosti","Split
Split
Zagreb",,
47,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS    ",,,,,,Epistolae,1496,"Vercellensis, Johannes Rubeus",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Male braće
Knjižnica Hvarske biskupije
Franjevački samostan sv. Duje
Franjevački samostan sv. Lovre
Znanstvena knjižnica Sveučilišta u Zadru","Zagreb
Zagreb
Dubrovnik
Hvar
Kraj
Šibenik
Zadar",,
46,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,,,,Epistolae,1496,"Pincius, Doninus",Venecija,Franjevački samostan sv. Frane,Šibenik,,
45,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,"Lelli, Teodoro de'",,,Epistole,1490,"Benalius, Bernardinus",Venecija,Franjevački samostan sv. Frane,Zadar,,
44,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,"Lelli, Teodoro de'",,,Epistolae,1489,"Kessler, Nicolaus",Basel,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan Navještenja Marijina
Arheološki muzej","Zagreb
Košljun
Split",,
43,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,"Lelli, Teodoro de'",,,Epistolae,1480,Typ. Hieronymi,Parma,"Franjevački samostan Male braće
Dominikanski samostan sv. Katarine
Franjevački samostan svetog Ante
Franjevački samostan sv. Frane","Dubrovnik
Split
Split
Zadar",,
42,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,"Lelli, Teodoro de'",,,Epistolae,1476,"Miscomini, Antonio di Bartolommeo",Venecija,"Nacionalna i sveučilišna knjižnica u Zagrebu
Franjevački samostan sv. Bernardina Sijenskog
Bogoslovno sjemenište
Knjižnica 'Juraj Habdelić'","Zagreb
Kampor
Split
Zagreb",,
41,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,,,,Epistolae,1470,"Sweynheym, Konrad
Pannartz, Arnold",Rim,"Franjevački samostan sv. Lovre
Franjevački samostan sv. Franje Asiškog","Šibenik
Zagreb",,
40,"HIERONYMUS, SANCTUS    ","HIERONYMUS, SANCTUS",,,"Bernardinus, Gardolus",,,Commentaria in Bibliam,1497,"Gregoriis, Johannes de",Venecija,"Knjižnica Hvarske biskupije
Franjevački samostan sv. Antuna Padovanskog
Franjevački samostan sv. Antuna Padovanskog
Dominikanski samostan sv. Katarine
Franjevački samostan sv. Frane
Knjižnica 'Juraj Habdelić'
Muzej suvremene umjetnosti","Hvar
Koprivnica
Našice
Split
Šibenik
Zagreb
Zagreb",,
39,"GELLIUS, AULUS    ","GELLIUS, AULUS  ",,,,,,Noctes Atticae,1485,"Dobriæeviæ, Dobriæ",Brescia,"Nacionalna i sveučilišna knjižnica u Zagrebu
Zbirka Baltazara Bogišića
Znanstvena knjižnica
Opatska knjižnica
Metropolitanska knjižnica","Zagreb
Cavtat
Dubrovnik
Korèula
Zagreb",,
